k,inertia
1,2812.137595303234
2,1190.7823593643448
3,546.8911504626299
4,212.00599621083484
5,188.77323556773723
6,170.72930303135
7,154.8862787038638
8,137.52828197083397
9,123.7640520610104
10,112.40802361314273
