Feature,Importance
MedInc,0.27181343464141344
scaled_income,0.25506764594452963
AveOccup,0.1381519753000447
Latitude,0.08885098679581259
Longitude,0.08837383111467557
HouseAge,0.05428956521993128
AveRooms,0.043825201696971385
Population,0.030287483451549226
AveBedrms,0.029339875835072245
