Epoch,ReLU_Loss,Sigmoid_Loss,Tanh_Loss
1,0.11061883717775345,2.535280227661133,1.2027174234390259
2,0.10480513423681259,1.9724534749984741,0.7615111470222473
3,0.10525583475828171,1.4933793544769287,0.45258989930152893
4,0.10621443390846252,1.0977396965026855,0.26339587569236755
5,0.10417479276657104,0.7829842567443848,0.1706291139125824
6,0.10058724135160446,0.5433620810508728,0.14151521027088165
7,0.09766507893800735,0.37017956376075745,0.14159570634365082
8,0.09587045013904572,0.25251802802085876,0.14568477869033813
9,0.09482984244823456,0.17830240726470947,0.14376796782016754
10,0.09438119828701019,0.13555432856082916,0.13744644820690155
