accuracy,loss,val_accuracy,val_loss
0.8740208148956299,0.44929060339927673,0.937583327293396,0.2211160659790039
0.9445000290870667,0.1892278492450714,0.953083336353302,0.16376177966594696
0.957854151725769,0.14321662485599518,0.9570000171661377,0.14218825101852417
0.9650208353996277,0.11750487238168716,0.9610833525657654,0.13043424487113953
0.9700624942779541,0.09796960651874542,0.9633333086967468,0.120119608938694
0.9761250019073486,0.08241196721792221,0.965583324432373,0.11353588104248047
0.9781875014305115,0.07141266018152237,0.968916654586792,0.09806754440069199
0.9815624952316284,0.061442773789167404,0.9668333530426025,0.1123230829834938
0.9840208292007446,0.0529414564371109,0.968916654586792,0.10077948123216629
0.9853749871253967,0.046493303030729294,0.9673333168029785,0.10889323055744171
