accuracy,loss
0.15537849068641663,3.1083850860595703
0.20717132091522217,2.9055213928222656
0.20717132091522217,2.7734410762786865
0.20717132091522217,2.765624523162842
0.20717132091522217,2.7407121658325195
0.20717132091522217,2.726914405822754
0.20717132091522217,2.7194173336029053
0.20717132091522217,2.7043635845184326
0.20717132091522217,2.699491500854492
0.20717132091522217,2.6893718242645264
0.20717132091522217,2.682115316390991
0.20717132091522217,2.6663308143615723
0.20717132091522217,2.6600501537323
0.2151394486427307,2.6461265087127686
0.20717132091522217,2.6455938816070557
0.20717132091522217,2.6084132194519043
0.2310757040977478,2.5945842266082764
0.21115538477897644,2.556643009185791
0.20717132091522217,2.5172460079193115
0.22310757637023926,2.5012433528900146
