Optimizer,Test_Loss,Test_Accuracy,Final_Train_Accuracy,Final_Validation_Accuracy
SGD,0.33395877480506897,0.9071999788284302,0.8999999761581421,0.9071999788284302
Adam,0.09100684523582458,0.9715999960899353,0.9789000153541565,0.9715999960899353
RMSprop,0.08564550429582596,0.973800003528595,0.9789166450500488,0.973800003528595
