accuracy,loss,val_accuracy,val_loss
0.905875027179718,0.33790937066078186,0.949833333492279,0.18193857371807098
0.9557083249092102,0.1550685316324234,0.9629166722297668,0.13206243515014648
0.9680625200271606,0.10835107415914536,0.968416690826416,0.1078268364071846
0.976729154586792,0.08061588555574417,0.9704999923706055,0.09963621944189072
0.9808541536331177,0.06488845497369766,0.9722499847412109,0.09450807422399521
0.98458331823349,0.05203253775835037,0.9710000157356262,0.09665101021528244
0.987458348274231,0.043087925761938095,0.9735833406448364,0.08748242259025574
0.9901458621025085,0.03423638269305229,0.9745000004768372,0.08544793725013733
0.9919166564941406,0.029064640402793884,0.9699166417121887,0.09466827660799026
0.9937916398048401,0.023408303037285805,0.9749166369438171,0.0861215591430664
