Model,Test_Loss,Test_Accuracy,Training_Time_Seconds
With Batch Normalization,0.09281499683856964,0.9732999801635742,30.79524803161621
Without Batch Normalization,0.0958632305264473,0.9746000170707703,26.93614959716797
