Max_Depth,Training_Score,Validation_Score
1,0.6476190476190476,0.7111111111111111
2,0.9428571428571428,0.9777777777777777
3,0.9523809523809523,1.0
4,0.9714285714285714,1.0
5,0.9904761904761905,1.0
6,1.0,1.0
7,1.0,1.0
8,1.0,1.0
9,1.0,1.0
