custom_loss,custom_val_loss,builtin_loss,builtin_val_loss
0.3777411878108978,0.1183653250336647,0.1872001439332962,0.11910328269004822
0.10565616190433502,0.10919709503650665,0.09513351321220398,0.10339028388261795
0.0942833349108696,0.10276546329259872,0.08976927399635315,0.10120285302400589
0.08887731283903122,0.09962286800146103,0.08691611886024475,0.09959772229194641
0.08604025840759277,0.09791801124811172,0.08514030277729034,0.09859899431467056
0.08443018794059753,0.09690108895301819,0.08399131149053574,0.09810738265514374
0.08337395638227463,0.09628550708293915,0.08323126286268234,0.09767977893352509
0.08268304914236069,0.09603144973516464,0.08262653648853302,0.09744061529636383
0.08215031027793884,0.09578035026788712,0.08216175436973572,0.09723474830389023
0.08172991871833801,0.09558684378862381,0.08172628283500671,0.09719335287809372
